sku,category,issue,prices_found,currencies_found,sources
A-201,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,40.78;458.72,AUD,chairs.pdf
A-202,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,38.74;428.22,AUD,chairs.pdf
A-203,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,39.76;438.42,AUD,chairs.pdf
A-205,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,38.74;428.22,AUD,chairs.pdf
A-206,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,38.74;428.22,AUD,chairs.pdf
A-207,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,41.80;468.92,AUD,chairs.pdf
A-208,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,"48.93;5,210.12",AUD,chairs.pdf
A-209,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,47.91;519.92,AUD,chairs.pdf
A060,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,"30.58;3,772.47",AUD,chairs.pdf
A222,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,"1,520.92;1,835.60",AUD,chairs.pdf
A2313,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,"2,540.86;3,050.83",AUD,chairs.pdf
A2320,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,"1,520.92;2,950.64",AUD,chairs.pdf
A2327,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,"1,520.92;2,545.96",AUD,chairs.pdf
A2331,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,"1,520.92;2,545.96",AUD,chairs.pdf
A502,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,"3,050.83;3,360.41",AUD,chairs.pdf
B-201,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,36.70;407.82,AUD,chairs.pdf
B-202,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,33.64;377.22,AUD,chairs.pdf
B-203,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,34.66;387.42,AUD,chairs.pdf
B-206,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,33.64;377.22,AUD,chairs.pdf
B-207,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,37.72;418.02,AUD,chairs.pdf
B-208,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,42.82;479.12,AUD,chairs.pdf
B-209,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,41.80;468.92,AUD,chairs.pdf
B060,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,"25.49;3,160.47",AUD,chairs.pdf
B207,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,30.58;34.66,AUD,chairs.pdf
B856,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,22.43;224.32,AUD,chairs.pdf
C-203,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,30.58;336.44,AUD,chairs.pdf
C-205,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,33.64;367.02,AUD,chairs.pdf
C-206,Chairs,MULTIPLE_PRICES_OR_CURRENCIES,28.54;326.22,AUD,chairs.pdf
